toldWhatToDo,engagerMovingWorker,workerDecidingHowWorkIsDone,whenWorkHasToBeDone,workerDecideWhere,CarryOverValue,Exit,CarryOverFactName
Yes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
